Actual,Predicted
308.6,426.19992
408.6,237.37482
111.98,92.96841
278.6,380.615
178.6,210.5494
218.6,214.53242
128.6,132.928
83.98,106.77795
778.6,507.09073
368.6,264.37897
278.6,528.78296
528.6,617.7668
278.6,314.332
378.6,405.96558
498.6,462.65286
198.6,184.37372
222.6,240.01556
168.61,161.40845
318.6,290.77014
98.6,133.97841
398.6,373.77652
171.6,162.05339
948.6,323.14545
308.6,227.84642
178.6,227.63237
153.6,199.5093
316.6,281.2388
388.6,345.74536
106.99,108.45
378.6,391.16718
398.6,384.39713
338.61,214.53831
598.61,594.9259
214.98,220.5619
108.6,183.78114
313.6,385.09665
148.6,155.82256
228.6,200.60054
278.6,283.93027
198.6,223.7494
298.6,216.50955
63.99,64.08728
183.6,168.19212
143.99,59.084965
244.6,223.99815
173.6,224.96152
202.6,221.62337
228.6,198.78458
238.6,278.8862
408.6,400.08478
168.61,188.02432
238.6,189.5132
398.6,376.69403
318.6,412.80188
268.6,182.96373
268.6,263.83392
418.6,191.00948
148.6,172.54065
378.6,361.4069
568.59,410.88272
358.6,372.3864
418.6,232.76033
212.6,228.27328
458.6,467.33414
418.52,290.0781
178.6,218.92035
418.6,298.6045
238.6,223.9224
208.61,167.47076
259.6,248.05266
285.6,287.02985
88.6,181.08199
358.6,219.23965
173.6,247.4594
308.6,211.93965
258.6,260.23853
138.6,169.7396
148.6,174.10211
148.6,192.89001
238.6,255.03041
518.6,428.57654
139.6,221.73389
248.6,315.06726
148.6,240.10638
244.6,273.23788
158.6,223.25145
285.6,367.31067
208.6,220.99039
528.6,430.50247
258.6,201.64136
103.6,213.91939
135.6,217.30504
193.6,248.16843
148.6,214.82703
408.6,448.02466
138.6,283.8109
151.6,226.82257
408.6,268.35165
98.6,165.46542
223.6,182.76576
268.59,210.00887
285.6,303.95605
168.59,232.0983
252.61,237.82494
168.61,196.76501
398.6,376.3915
140.6,235.51999
162.6,228.28056
368.6,279.14398
244.6,221.21072
328.6,302.61298
128.6,155.57451
244.6,249.30199
198.6,217.1973
258.6,180.85017
328.6,240.80228
73.98,139.11093
358.6,345.55966
238.6,226.52531
408.6,423.77863
388.6,422.24747
238.6,179.5975
398.6,358.27118
198.6,213.70514
268.6,182.80872
278.6,226.49255
208.61,235.80693
258.6,239.8032
358.6,351.80374
71.6,201.47902
215.6,193.37485
218.6,220.85129
238.6,250.5582
368.6,200.29996
298.6,216.36334
463.6,221.67645
338.61,180.22203
209.35,203.16754
288.61,272.1736
358.6,227.04651
428.6,414.83267
202.6,215.13637
378.6,469.03796
103.6,174.63416
483.24,186.95427
318.6,290.55875
168.61,188.67934
298.6,293.20114
378.6,272.13763
108.6,173.47255
218.6,261.39838
285.6,353.0668
268.6,220.1097
128.6,229.21439
118.6,181.34818
398.6,432.6182
144.73,197.47578
458.61,437.3587
258.6,210.69858
318.6,210.84723
478.6,333.48334
158.6,194.78352
193.6,280.31775
128.6,240.27316
148.6,217.45122
88.6,154.3824
192.6,252.5205
118.6,268.8479
148.6,172.20459
298.6,222.17838
118.6,199.18335
358.6,230.14893
134.36,198.51535
172.6,204.11143
228.6,273.77982
178.6,298.02176
202.6,243.2778
218.6,221.70407
598.61,295.58224
143.6,281.72592
398.6,275.3981
193.61,224.31139
308.6,444.325
188.6,234.96042
191.6,223.56657
143.6,277.27133
398.6,296.2085
133.6,203.881
328.6,229.29106
98.6,204.00792
238.61,201.38246
138.6,165.22247
508.6,234.09482
368.6,252.32887
278.6,275.78366
698.6,425.07126
438.59,379.70145
172.6,156.7591
268.6,276.71866
298.6,256.02383
168.61,161.09874
238.6,195.43411
178.6,224.57254
363.6,258.7041
458.6,323.07266
188.6,229.0308
288.6,223.54263
198.6,207.13216
318.6,538.8511
213.6,163.48386
238.6,225.43024
98.6,176.25584
358.6,348.47784
398.6,402.22327
140.99,98.7954
154.35,196.671
172.6,232.26132
398.6,216.83911
241.6,198.95245
151.6,217.34306
63.99,84.43868
288.61,343.74518
98.6,171.6094
143.6,231.89328
308.6,244.59053
328.6,418.74982
183.6,155.18596
418.6,227.94943
398.6,218.50719
348.6,287.07117
43.98,42.2036
148.6,197.01823
98.6,183.15967
408.6,314.1074
318.6,589.0914
268.6,281.9794
278.6,408.24982
185.6,172.35869
228.6,230.24706
172.6,267.7538
151.6,170.47572
318.6,423.70056
358.6,388.6946
171.98,105.12933
148.6,239.07375
143.99,196.23303
358.6,237.08185
183.6,245.56575
148.6,235.56944
191.6,309.24567
238.6,148.39674
